Area Category;Nama Daerah;Luas Tanah (m2);Luas Bangunan (m2);Jumlah Kamar;Jumlah Km Mandi;Tingkat/Lantai ;Harga rata2 Komunitas;Harga Dipasarkan (dari Owner);Harga Terjual;Terjual/Belum;Status Kepemilikan;Arah Hadap Rumah;Posisi Rumah;Lebar Jalan Depan Rumah (ROW)
;;;;;;;;;;;;;;
Premium;Northwest Lake;72;69;2;2;2;1.400.000.000;1.350.000.000;;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;1-2 Mobil
Standard;Bukit Palma;60;90;3;2;2;1.000.000.000;1.125.000.000;;Belum;Pengikatan Perjanjian Jual Beli (PPJB);Selatan;Standard;1-2 Mobil
Standard;Palma Classica;210;100;4;2;1;2.400.000.000;1.999.000.000;;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil
Standard;Bukit Palma;120;54;3;1;1;800.000.000;850.000.000;;Belum;Hak Milik (SHM);Selatan;Standard;> 2 Mobil
Standard;Bukit Palma;60;90;3;2;2;800.000.000;1.175.000.000;1.025.000.000;Terjual;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil
Standard;Bukit Palma;233;177;5;3;2;2.000.000.000;3.700.000.000;;Belum;Hak Guna Bangunan (HGB);Selatan;Tikungan/Hook;1-2 Mobil
Standard;bukit Palma;84;120;3;2;2;1.000.000.000;1.300.000.000;1.200.000.000;Terjual;Pengikatan Perjanjian Jual Beli (PPJB);Timur;Standard;> 2 Mobil
Standard;bukit Palma;120;100;2;1;1;1.150.000.000;1.300.000.000;;Belum;Hak Guna Bangunan (HGB);Timur;Standard;> 2 Mobil
Standard;bukit Palma;120;70;3;1;1;1.150.000.000;1.350.000.000;;Belum;Hak Milik (SHM);Timur;Standard;1-2 Mobil
Standard;bukit Palma;122,5;94;3;2;1;1.200.000.000;1.250.000.000;;Belum;Hak Milik (SHM);Utara;Standard;1-2 Mobil
Premium;citraland;180;220;4;3;2;3.500.000.000;3.600.000.000;;Belum;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil
Premium;citraland;210;170;3;2;1;2.500.000.000;2.300.000.000;1.900.000.000;Terjual;Pengikatan Perjanjian Jual Beli (PPJB);Utara;Standard;> 2 Mobil
Standard;greenlake;136;138;4;4;2;2.000.000.000;2.600.000.000;;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil
Standard;greenlake;200;258;4;3;2;2.500.000.000;3.750.000.000;;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil
