species;island;bill_length_mm;bill_depth_mm;flipper_length_mm;body_mass_g;sex
Adelie;Torgersen;391;187;181;3750;MALE
Adelie;Torgersen;395;174;186;3800;FEMALE
Adelie;Torgersen;403;18;195;3250;FEMALE
Adelie;Torgersen;;;;;
Adelie;Torgersen;367;193;193;3450;FEMALE
Adelie;Torgersen;393;206;190;3650;MALE
Adelie;Torgersen;389;178;181;3625;FEMALE
Adelie;Torgersen;392;196;195;4675;MALE
Adelie;Torgersen;341;181;193;3475;
Adelie;Torgersen;42;202;190;4250;
Adelie;Torgersen;378;171;186;3300;
Adelie;Torgersen;378;173;180;3700;
Adelie;Torgersen;411;176;182;3200;FEMALE
Adelie;Torgersen;386;212;191;3800;MALE
Adelie;Torgersen;346;211;198;4400;MALE
Adelie;Torgersen;366;178;185;3700;FEMALE
Adelie;Torgersen;387;19;195;3450;FEMALE
Adelie;Torgersen;425;207;197;4500;MALE
Adelie;Torgersen;344;184;184;3325;FEMALE
Adelie;Torgersen;46;215;194;4200;MALE
Adelie;Biscoe;378;183;174;3400;FEMALE
Adelie;Biscoe;377;187;180;3600;MALE
Adelie;Biscoe;359;192;189;3800;FEMALE
Adelie;Biscoe;382;181;185;3950;MALE
Adelie;Biscoe;388;172;180;3800;MALE
Adelie;Biscoe;353;189;187;3800;FEMALE
Adelie;Biscoe;406;186;183;3550;MALE
Adelie;Biscoe;405;179;187;3200;FEMALE
Adelie;Biscoe;379;186;172;3150;FEMALE
Adelie;Biscoe;405;189;180;3950;MALE
Adelie;Dream;395;167;178;3250;FEMALE
Adelie;Dream;372;181;178;3900;MALE
Adelie;Dream;395;178;188;3300;FEMALE
Adelie;Dream;409;189;184;3900;MALE
Adelie;Dream;364;17;195;3325;FEMALE
Adelie;Dream;392;211;196;4150;MALE
Adelie;Dream;388;20;190;3950;MALE
Adelie;Dream;422;185;180;3550;FEMALE
Adelie;Dream;376;193;181;3300;FEMALE
Adelie;Dream;398;191;184;4650;MALE
Adelie;Dream;365;18;182;3150;FEMALE
Adelie;Dream;408;184;195;3900;MALE
Adelie;Dream;36;185;186;3100;FEMALE
Adelie;Dream;441;197;196;4400;MALE
Adelie;Dream;37;169;185;3000;FEMALE
Adelie;Dream;396;188;190;4600;MALE
Adelie;Dream;411;19;182;3425;MALE
Adelie;Dream;375;189;179;2975;
Adelie;Dream;36;179;190;3450;FEMALE
Adelie;Dream;423;212;191;4150;MALE
Adelie;Biscoe;396;177;186;3500;FEMALE
Adelie;Biscoe;401;189;188;4300;MALE
Adelie;Biscoe;35;179;190;3450;FEMALE
Adelie;Biscoe;42;195;200;4050;MALE
Adelie;Biscoe;345;181;187;2900;FEMALE
Adelie;Biscoe;414;186;191;3700;MALE
Adelie;Biscoe;39;175;186;3550;FEMALE
Adelie;Biscoe;406;188;193;3800;MALE
Adelie;Biscoe;365;166;181;2850;FEMALE
Adelie;Biscoe;376;191;194;3750;MALE
Adelie;Biscoe;357;169;185;3150;FEMALE
Adelie;Biscoe;413;211;195;4400;MALE
Adelie;Biscoe;376;17;185;3600;FEMALE
Adelie;Biscoe;411;182;192;4050;MALE
Adelie;Biscoe;364;171;184;2850;FEMALE
Adelie;Biscoe;416;18;192;3950;MALE
Adelie;Biscoe;355;162;195;3350;FEMALE
Adelie;Biscoe;411;191;188;4100;MALE
Adelie;Torgersen;359;166;190;3050;FEMALE
Adelie;Torgersen;418;194;198;4450;MALE
Adelie;Torgersen;335;19;190;3600;FEMALE
Adelie;Torgersen;397;184;190;3900;MALE
Adelie;Torgersen;396;172;196;3550;FEMALE
Adelie;Torgersen;458;189;197;4150;MALE
Adelie;Torgersen;355;175;190;3700;FEMALE
Adelie;Torgersen;428;185;195;4250;MALE
Adelie;Torgersen;409;168;191;3700;FEMALE
Adelie;Torgersen;372;194;184;3900;MALE
Adelie;Torgersen;362;161;187;3550;FEMALE
Adelie;Torgersen;421;191;195;4000;MALE
Adelie;Torgersen;346;172;189;3200;FEMALE
Adelie;Torgersen;429;176;196;4700;MALE
Adelie;Torgersen;367;188;187;3800;FEMALE
Adelie;Torgersen;351;194;193;4200;MALE
Adelie;Dream;373;178;191;3350;FEMALE
Adelie;Dream;413;203;194;3550;MALE
Adelie;Dream;363;195;190;3800;MALE
Adelie;Dream;369;186;189;3500;FEMALE
Adelie;Dream;383;192;189;3950;MALE
Adelie;Dream;389;188;190;3600;FEMALE
Adelie;Dream;357;18;202;3550;FEMALE
Adelie;Dream;411;181;205;4300;MALE
Adelie;Dream;34;171;185;3400;FEMALE
Adelie;Dream;396;181;186;4450;MALE
Adelie;Dream;362;173;187;3300;FEMALE
Adelie;Dream;408;189;208;4300;MALE
Adelie;Dream;381;186;190;3700;FEMALE
Adelie;Dream;403;185;196;4350;MALE
Adelie;Dream;331;161;178;2900;FEMALE
Adelie;Dream;432;185;192;4100;MALE
Adelie;Biscoe;35;179;192;3725;FEMALE
Adelie;Biscoe;41;20;203;4725;MALE
Adelie;Biscoe;377;16;183;3075;FEMALE
Adelie;Biscoe;378;20;190;4250;MALE
Adelie;Biscoe;379;186;193;2925;FEMALE
Adelie;Biscoe;397;189;184;3550;MALE
Adelie;Biscoe;386;172;199;3750;FEMALE
Adelie;Biscoe;382;20;190;3900;MALE
Adelie;Biscoe;381;17;181;3175;FEMALE
Adelie;Biscoe;432;19;197;4775;MALE
Adelie;Biscoe;381;165;198;3825;FEMALE
Adelie;Biscoe;456;203;191;4600;MALE
Adelie;Biscoe;397;177;193;3200;FEMALE
Adelie;Biscoe;422;195;197;4275;MALE
Adelie;Biscoe;396;207;191;3900;FEMALE
Adelie;Biscoe;427;183;196;4075;MALE
Adelie;Torgersen;386;17;188;2900;FEMALE
Adelie;Torgersen;373;205;199;3775;MALE
Adelie;Torgersen;357;17;189;3350;FEMALE
Adelie;Torgersen;411;186;189;3325;MALE
Adelie;Torgersen;362;172;187;3150;FEMALE
Adelie;Torgersen;377;198;198;3500;MALE
Adelie;Torgersen;402;17;176;3450;FEMALE
Adelie;Torgersen;414;185;202;3875;MALE
Adelie;Torgersen;352;159;186;3050;FEMALE
Adelie;Torgersen;406;19;199;4000;MALE
Adelie;Torgersen;388;176;191;3275;FEMALE
Adelie;Torgersen;415;183;195;4300;MALE
Adelie;Torgersen;39;171;191;3050;FEMALE
Adelie;Torgersen;441;18;210;4000;MALE
Adelie;Torgersen;385;179;190;3325;FEMALE
Adelie;Torgersen;431;192;197;3500;MALE
Adelie;Dream;368;185;193;3500;FEMALE
Adelie;Dream;375;185;199;4475;MALE
